# CSV file produced by Simufact
# Date of creation: 17.10.2021 13:23:25
#
# 1 (TIME - s);1 (Z displacement - mm);# 10 (TIME - s);10 (Z displacement - mm);# 2 (TIME - s);2 (Z displacement - mm);# 3 (TIME - s);3 (Z displacement - mm);# 4 (TIME - s);4 (Z displacement - mm);# 5 (TIME - s);5 (Z displacement - mm);# 6 (TIME - s);6 (Z displacement - mm);# 7 (TIME - s);7 (Z displacement - mm);# 8 (TIME - s);8 (Z displacement - mm);# 9 (TIME - s);9 (Z displacement - mm)
37646.907;-0.00643190496;37646.907;-0.010734343;37646.907;-0.00726008049;37646.907;-0.0101346862;37646.907;-0.0128799787;37646.907;-0.0131815064;37646.907;-0.0121516246;37646.907;-0.00956559576;37646.907;-0.00707385098;37646.907;-0.0126796558
38090.6197;-0.00576376704;38090.6197;-0.0101448949;38090.6197;-0.00663931359;38090.6197;-0.00959660689;38090.6197;-0.01237329;38090.6197;-0.0126539503;38090.6197;-0.0115533173;38090.6197;-0.00885980741;38090.6197;-0.00633670848;38090.6197;-0.0121835373
38090.6199;-0.00591044149;38090.6199;-0.010352272;38090.6199;-0.0067656265;38090.6199;-0.00972726032;38090.6199;-0.0125879518;38090.6199;-0.0129259583;38090.6199;-0.0118257221;38090.6199;-0.00911947071;38090.6199;-0.00654512866;38090.6199;-0.012363478
38090.7957;-0.00594596132;38090.7957;-0.0103818853;38090.7957;-0.00679688983;38090.7957;-0.00975148747;38090.7957;-0.0126102206;38090.7957;-0.0129505884;38090.7957;-0.0118568686;38090.7957;-0.00916003337;38090.7957;-0.00658777119;38090.7957;-0.012384479
38102.2199;-0.00595287236;38102.2199;-0.0103069038;38102.2199;-0.00681269073;38102.2199;-0.00974881807;38102.2199;-0.0124997223;38102.2199;-0.0127672137;38102.2199;-0.0117055984;38102.2199;-0.00907358258;38102.2199;-0.00657337403;38102.2199;-0.012315517
38539.762;-0.00545611252;38539.762;-0.00987287506;38539.762;-0.00635956308;38539.762;-0.00936842394;38539.762;-0.0121372601;38539.762;-0.0123790358;38539.762;-0.0112568438;38539.762;-0.00853337418;38539.762;-0.00601124669;38539.762;-0.0119665803
38539.7622;-0.00561205854;38539.7622;-0.0100870857;38539.7622;-0.00650057523;38539.7622;-0.00951859399;38539.7622;-0.0123623499;38539.7622;-0.0126525313;38539.7622;-0.0115263348;38539.7622;-0.00878630813;38539.7622;-0.00621841602;38539.7622;-0.0121621442
38539.938;-0.00568339609;38539.938;-0.0101578782;38539.938;-0.00656866136;38539.938;-0.00958262372;38539.938;-0.0124284426;38539.938;-0.012722746;38539.938;-0.0116005096;38539.938;-0.00886621785;38539.938;-0.00629770595;38539.938;-0.0122259008
38551.3622;-0.00572030963;38551.3622;-0.0101261454;38551.3622;-0.00660565517;38551.3622;-0.00959661068;38551.3622;-0.0123606123;38551.3622;-0.0126032578;38551.3622;-0.0115156069;38551.3622;-0.00884333238;38551.3622;-0.0063302264;38551.3622;-0.0121873222
38982.5681;-0.00523182109;38982.5681;-0.00968628242;38982.5681;-0.00615888493;38982.5681;-0.00921479484;38982.5681;-0.0119825677;38982.5681;-0.0121936106;38982.5681;-0.0110528337;38982.5681;-0.00830316165;38982.5681;-0.00577844301;38982.5681;-0.011826407
38982.5684;-0.00535620751;38982.5684;-0.00986647056;38982.5684;-0.00627248433;38982.5684;-0.00934127359;38982.5684;-0.0121762405;38982.5684;-0.012427897;38982.5684;-0.0112804179;38982.5684;-0.00851202454;38982.5684;-0.00594616069;38982.5684;-0.0119949912
38982.7441;-0.00537986145;38982.7441;-0.00988889061;38982.7441;-0.00629315743;38982.7441;-0.00935817139;38982.7441;-0.0121952015;38982.7441;-0.0124503751;38982.7441;-0.0113062982;38982.7441;-0.00854208058;38982.7441;-0.00597522613;38982.7441;-0.012011963
38994.1684;-0.00550399112;38994.1684;-0.00995593395;38994.1684;-0.00641381165;38994.1684;-0.00945535708;38994.1684;-0.0122283479;38994.1684;-0.0124462703;38994.1684;-0.0113340744;38994.1684;-0.00862536055;38994.1684;-0.00610255395;38994.1684;-0.0120662737
39418.0149;-0.00505311326;39418.0149;-0.0095420049;39418.0149;-0.00599983377;39418.0149;-0.00909686018;39418.0149;-0.0118661648;39418.0149;-0.0120516904;39418.0149;-0.0108956585;39418.0149;-0.00812354452;39418.0149;-0.00559491716;39418.0149;-0.0117217734
39418.0152;-0.00514895275;39418.0152;-0.00969138561;39418.0152;-0.00608761436;39418.0152;-0.00919994197;39418.0152;-0.0120305404;39418.0152;-0.0122506837;39418.0152;-0.0110867893;39418.0152;-0.00829524482;39418.0152;-0.00572897519;39418.0152;-0.0118644145
39418.1909;-0.00514848374;39418.1909;-0.00969180327;39418.1909;-0.00608518554;39418.1909;-0.0091956355;39418.1909;-0.0120294544;39418.1909;-0.0122530019;39418.1909;-0.0110909078;39418.1909;-0.00830120618;39418.1909;-0.00573293118;39418.1909;-0.011861379
39429.6152;-0.0055465775;39429.6152;-0.0100436048;39429.6152;-0.00647537817;39429.6152;-0.00956124801;39429.6152;-0.0123486149;39429.6152;-0.0125490365;39429.6152;-0.0114178081;39429.6152;-0.00867862695;39429.6152;-0.00614312334;39429.6152;-0.012193651
39846.9418;-0.00491721969;39846.9418;-0.0094462897;39846.9418;-0.00588154472;39846.9418;-0.00901934934;39846.9418;-0.0117985872;39846.9418;-0.0119653378;39846.9418;-0.0107938872;39846.9418;-0.00799828705;39846.9418;-0.00546057475;39846.9418;-0.0116620845
39846.942;-0.00496543096;39846.942;-0.00954509669;39846.942;-0.00592336522;39846.942;-0.00907753524;39846.942;-0.0119127494;39846.942;-0.0121091702;39846.942;-0.010929912;39846.942;-0.00811546919;39846.942;-0.00554331769;39846.942;-0.0117572665
39847.1178;-0.00496010552;39847.1178;-0.00954168254;39847.1178;-0.00591655864;39847.1178;-0.00906974885;39847.1178;-0.0119088292;39847.1178;-0.0121086703;39847.1178;-0.010930145;39847.1178;-0.00811616927;39847.1178;-0.00554162393;39847.1178;-0.0117513809
39858.542;-0.00516333573;39858.542;-0.0097099152;39858.542;-0.00610984728;39858.542;-0.00924020542;39858.542;-0.012049359;39858.542;-0.0122374199;39858.542;-0.0110856746;39858.542;-0.00831339157;39858.542;-0.00576066457;39858.542;-0.0118985401
40270.3782;-0.0047373374;40270.3782;-0.0093064867;40270.3782;-0.00571507035;40270.3782;-0.0088890523;40270.3782;-0.0116847056;40270.3782;-0.0118395019;40270.3782;-0.0106549658;40270.3782;-0.00783735399;40270.3782;-0.00528676408;40270.3782;-0.0115522647
40270.3784;-0.00478587755;40270.3784;-0.00940547072;40270.3784;-0.00576005006;40270.3784;-0.00895347973;40270.3784;-0.0118005314;40270.3784;-0.0119801059;40270.3784;-0.0107863042;40270.3784;-0.00794917676;40270.3784;-0.00536690621;40270.3784;-0.0116518314
40270.5542;-0.0047983899;40270.5542;-0.00941819969;40270.5542;-0.00577134766;40270.5542;-0.00896333743;40270.5542;-0.0118121452;40270.5542;-0.0119939855;40270.5542;-0.0108007888;40270.5542;-0.00796454606;40270.5542;-0.00538147198;40270.5542;-0.011662205
40281.9784;-0.00501672033;40281.9784;-0.00961283538;40281.9784;-0.00597852667;40281.9784;-0.00915040934;40281.9784;-0.0119841814;40281.9784;-0.0121640246;40281.9784;-0.0109931982;40281.9784;-0.00818975052;40281.9784;-0.00561857966;40281.9784;-0.0118352556
