# CSV file produced by Simufact
# Date of creation: 05.10.2021 14:34:50
#
# 1 (TIME - s);1 (Equivalent stress - MPa);# 2 (TIME - s);2 (Equivalent stress - MPa);# 3 (TIME - s);3 (Equivalent stress - MPa);# 4 (TIME - s);4 (Equivalent stress - MPa);# 5 (TIME - s);5 (Equivalent stress - MPa);# 6 (TIME - s);6 (Equivalent stress - MPa);# 7 (TIME - s);7 (Equivalent stress - MPa);# 8 (TIME - s);8 (Equivalent stress - MPa);# 9 (TIME - s);9 (Equivalent stress - MPa)
33654.2624;542.005566;33654.2624;545.258469;33654.2624;554.471458;33654.2624;585.719988;33654.2624;606.152837;33654.2624;608.944214;33654.2624;566.4749;33654.2624;541.433981;33654.2624;561.198812
33665.6866;542.27043;33665.6866;545.507067;33665.6866;554.693562;33665.6866;585.907313;33665.6866;606.325243;33665.6866;609.116573;33665.6866;566.676708;33665.6866;541.68678;33665.6866;561.41405
33995.1098;543.118887;33995.1098;546.478106;33995.1098;555.8671;33995.1098;587.388868;33995.1098;608.011668;33995.1098;610.820844;33995.1098;567.994495;33995.1098;542.605473;33995.1098;562.650918
33995.1098;541.939647;33995.1098;545.358157;33995.1098;554.819102;33995.1098;586.425768;33995.1098;607.036262;33995.1098;609.823921;33995.1098;567.022023;33995.1098;541.47712;33995.1098;561.624804
33995.2855;545.597051;33995.2855;548.872197;33995.2855;558.229383;33995.2855;589.64854;33995.2855;610.303944;33995.2855;613.217068;33995.2855;570.182838;33995.2855;544.954781;33995.2855;564.966072
34006.7098;545.552563;34006.7098;548.820135;34006.7098;558.153095;34006.7098;589.521229;34006.7098;610.140992;34006.7098;613.045334;34006.7098;570.071513;34006.7098;544.897222;34006.7098;564.873314
34334.4384;546.35492;34334.4384;549.731279;34334.4384;559.230519;34334.4384;590.841035;34334.4384;611.614668;34334.4384;614.525008;34334.4384;571.230584;34334.4384;545.739762;34334.4384;565.983518
34334.4384;545.16648;34334.4384;548.602282;34334.4384;558.173222;34334.4384;589.869173;34334.4384;610.628399;34334.4384;613.516217;34334.4384;570.247705;34334.4384;544.600425;34334.4384;564.948581
34334.6141;545.133925;34334.6141;548.5713;34334.6141;558.144998;34334.6141;589.843736;34334.6141;610.603094;34334.6141;613.491102;34334.6141;570.222354;34334.6141;544.569676;34334.6141;564.921523
34346.0384;545.242124;34346.0384;548.675279;34346.0384;558.241336;34346.0384;589.921682;34346.0384;610.678698;34346.0384;613.56887;34346.0384;570.307055;34346.0384;544.673493;34346.0384;565.013855
34671.9849;546.167488;34671.9849;549.701353;34671.9849;559.434676;34671.9849;591.379021;34671.9849;612.31207;34671.9849;615.216713;34671.9849;571.619952;34671.9849;545.654949;34671.9849;566.260011
34671.985;545.001731;34671.985;548.593305;34671.985;558.39493;34671.985;590.416862;34671.985;611.331847;34671.985;614.213792;34671.985;570.647056;34671.985;544.534769;34671.985;565.239084
34672.1607;544.965689;34672.1607;548.55831;34672.1607;558.362744;34672.1607;590.388428;34672.1607;611.304756;34672.1607;614.187497;34672.1607;570.620678;34672.1607;544.501845;34672.1607;565.209686
34683.585;545.267833;34683.585;548.84374;34683.585;558.619464;34683.585;590.601246;34683.585;611.499989;34683.585;614.382771;34683.585;570.836876;34683.585;544.781272;34683.585;565.45084
35007.8241;545.874878;35007.8241;549.558083;35007.8241;559.50998;35007.8241;591.760904;35007.8241;612.837787;35007.8241;615.734474;35007.8241;571.867244;35007.8241;545.459153;35007.8241;566.402337
35007.8241;544.6767;35007.8241;548.423963;35007.8241;558.45311;35007.8241;590.795841;35007.8241;611.863483;35007.8241;614.737397;35007.8241;570.88883;35007.8241;544.314169;35007.8241;565.367215
