# CSV file produced by Simufact
# Date of creation: 17.10.2021 13:23:19
#
# 1 (TIME - s);1 (Y displacement - mm);# 10 (TIME - s);10 (Y displacement - mm);# 2 (TIME - s);2 (Y displacement - mm);# 3 (TIME - s);3 (Y displacement - mm);# 4 (TIME - s);4 (Y displacement - mm);# 5 (TIME - s);5 (Y displacement - mm);# 6 (TIME - s);6 (Y displacement - mm);# 7 (TIME - s);7 (Y displacement - mm);# 8 (TIME - s);8 (Y displacement - mm);# 9 (TIME - s);9 (Y displacement - mm)
36216.2696;0.00508796943;36216.2696;0.00501765423;36216.2696;0.008600626;36216.2696;0.0116613358;36216.2696;0.00676834151;36216.2696;0.00267589796;36216.2696;-0.000330085643;36216.2696;-0.00233731697;36216.2696;0.000628421526;36216.2696;0.00936374805
36227.6938;0.00512920071;36227.6938;0.00506438742;36227.6938;0.00861328697;36227.6938;0.0116437104;36227.6938;0.00679636707;36227.6938;0.00275329667;36227.6938;-0.00025445189;36227.6938;-0.00226951747;36227.6938;0.000680486515;36227.6938;0.00936401705
36699.1406;0.00508306055;36699.1406;0.00499710384;36699.1406;0.00859927314;36699.1406;0.0116582931;36699.1406;0.00674079636;36699.1406;0.00262771183;36699.1406;-0.00043604788;36699.1406;-0.00246978465;36699.1406;0.000556913385;36699.1406;0.00934720962
36699.1408;0.00504315084;36699.1408;0.00496842572;36699.1408;0.00857617803;36699.1408;0.0116551447;36699.1408;0.00672692201;36699.1408;0.0026001247;36699.1408;-0.000458949342;36699.1408;-0.00249386373;36699.1408;0.000523157607;36699.1408;0.00934171123
36699.3166;0.00503653408;36699.3166;0.00496702429;36699.3166;0.00857055558;36699.3166;0.0116524997;36699.3166;0.00672930104;36699.3166;0.00260480901;36699.3166;-0.000455297775;36699.3166;-0.0024924846;36699.3166;0.000519828386;36699.3166;0.00934276848
36710.7408;0.00509459563;36710.7408;0.00503781379;36710.7408;0.00860722805;36710.7408;0.011669569;36710.7408;0.00679139127;36710.7408;0.00271023502;36710.7408;-0.000358414837;36710.7408;-0.00240842311;36710.7408;0.000587345241;36710.7408;0.00938042591
37172.1749;0.0050520929;37172.1749;0.00497620087;37172.1749;0.00858957754;37172.1749;0.011673534;37172.1749;0.00673776561;37172.1749;0.002599233;37172.1749;-0.000517183272;37172.1749;-0.00258257047;37172.1749;0.000479161428;37172.1749;0.00935841402
37172.1752;0.00503092861;37172.1752;0.0049640086;37172.1752;0.00858487736;37172.1752;0.0116875226;37172.1752;0.00673866822;37172.1752;0.00258531171;37172.1752;-0.000527910001;37172.1752;-0.00259479863;37172.1752;0.000460677432;37172.1752;0.00936833064
37172.3509;0.00500211039;37172.3509;0.00493832104;37172.3509;0.00855628807;37172.3509;0.0116603829;37172.3509;0.00671510742;37172.3509;0.00256367328;37172.3509;-0.000548546818;37172.3509;-0.00261574829;37172.3509;0.000435633275;37172.3509;0.00934366848
37183.7752;0.00506407077;37183.7752;0.00501666498;37183.7752;0.00860161196;37183.7752;0.0116931278;37183.7752;0.0067910027;37183.7752;0.0026774331;37183.7752;-0.000445439211;37183.7752;-0.00252688017;37183.7752;0.00050728378;37183.7752;0.00939807753
37635.3068;0.00505630316;37635.3068;0.00499066193;37635.3068;0.00861281092;37635.3068;0.0117197008;37635.3068;0.00676921975;37635.3068;0.0026085629;37635.3068;-0.000555619297;37635.3068;-0.00264974552;37635.3068;0.000442489721;37635.3068;0.0094021879
37635.307;0.00501363597;37635.307;0.00495595603;37635.307;0.00858611991;37635.307;0.0117108388;37635.307;0.00674662241;37635.307;0.00257093233;37635.307;-0.000592243254;37635.307;-0.00268896142;37635.307;0.00039958499;37635.307;0.00938869114
37635.4828;0.00501847178;37635.4828;0.00496311282;37635.4828;0.0085913189;37635.4828;0.0117172964;37635.4828;0.00675543155;37635.4828;0.00258087965;37635.4828;-0.000581646225;37635.4828;-0.00267873561;37635.4828;0.000406918029;37635.4828;0.00939684814
37646.907;0.00504005296;37646.907;0.00500137605;37646.907;0.00860132694;37646.907;0.0117203996;37646.907;0.00679513924;37646.907;0.00265084335;37646.907;-0.000522331409;37646.907;-0.00263278338;37646.907;0.000437262387;37646.907;0.00941936626
38090.6197;0.0050199914;38090.6197;0.00496739211;38090.6197;0.00859729725;38090.6197;0.0117298517;38090.6197;0.00676557545;38090.6197;0.00258253751;38090.6197;-0.000627612731;38090.6197;-0.00275054416;38090.6197;0.00036836428;38090.6197;0.00941106908
38090.6199;0.00500986299;38090.6199;0.00496399939;38090.6199;0.00860219428;38090.6199;0.0117511546;38090.6199;0.00677303823;38090.6199;0.0025754269;38090.6199;-0.00063512594;38090.6199;-0.00276108772;38090.6199;0.000356075751;38090.6199;0.00942735473
38090.7957;0.0049934328;38090.7957;0.00494917246;38090.7957;0.00858635377;38090.7957;0.0117365134;38090.7957;0.00675952272;38090.7957;0.00256226692;38090.7957;-0.00064726966;38090.7957;-0.00277313443;38090.7957;0.000341759907;38090.7957;0.00941364959
38102.2199;0.005016875;38102.2199;0.00498913767;38102.2199;0.00860068227;38102.2199;0.0117469335;38102.2199;0.00680305344;38102.2199;0.00263160673;38102.2199;-0.000586933813;38102.2199;-0.00272471451;38102.2199;0.000374600438;38102.2199;0.00944242614
38539.762;0.00502416277;38539.762;0.00498310753;38539.762;0.00861999389;38539.762;0.0117754727;38539.762;0.00679886056;38539.762;0.00259574046;38539.762;-0.000655123155;38539.762;-0.0028033515;38539.762;0.000339262377;38539.762;0.00945558128
38539.7622;0.00500324001;38539.7622;0.00496906139;38539.7622;0.00861367371;38539.7622;0.0117852545;38539.7622;0.00679557714;38539.7622;0.00257833238;38539.7622;-0.000675379977;38539.7622;-0.00282814178;38539.7622;0.000314186799;38539.7622;0.00946081212
38539.938;0.00498819153;38539.938;0.00495605692;38539.938;0.00860000657;38539.938;0.0117736432;38539.938;0.00678445127;38539.938;0.00256685511;38539.938;-0.000686253735;38539.938;-0.00283938717;38539.938;0.000300776754;38539.938;0.00944992332
