# CSV file produced by Simufact
# Date of creation: 05.10.2021 14:28:52
#
# 1 (TIME - s);1 (X displacement - mm);# 2 (TIME - s);2 (X displacement - mm);# 3 (TIME - s);3 (X displacement - mm);# 4 (TIME - s);4 (X displacement - mm);# 5 (TIME - s);5 (X displacement - mm);# 6 (TIME - s);6 (X displacement - mm);# 7 (TIME - s);7 (X displacement - mm);# 8 (TIME - s);8 (X displacement - mm)
33311.4435;0.0028745999;33311.4435;0.00327238454;33311.4435;0.00384589288;33311.4435;0.00439234565;33311.4435;0.00422160219;33311.4435;0.00375510151;33311.4435;0.00333023539;33311.4435;0.00383608178
33311.4435;0.00286437052;33311.4435;0.00327911975;33311.4435;0.00387245372;33311.4435;0.00442862429;33311.4435;0.00424798263;33311.4435;0.00376508747;33311.4435;0.00332634333;33311.4435;0.003852233
33311.6192;0.00285681494;33311.6192;0.0032718613;33311.6192;0.00386614578;33311.6192;0.00442287362;33311.6192;0.00424209978;33311.6192;0.00375869721;33311.6192;0.00331939843;33311.6192;0.00384578394
33323.0435;0.00284383597;33323.0435;0.00326064218;33323.0435;0.00385624919;33323.0435;0.00441299444;33323.0435;0.00423059513;33323.0435;0.0037460857;33323.0435;0.0033061506;33323.0435;0.0038342841
33654.0866;0.00287259003;33654.0866;0.00329532216;33654.0866;0.0039000855;33654.0866;0.00446344526;33654.0866;0.00428001166;33654.0866;0.00378798701;33654.0866;0.00334026353;33654.0866;0.00387612537
33654.0866;0.00283383087;33654.0866;0.00327276718;33654.0866;0.00389650763;33654.0866;0.00446927726;33654.0866;0.00427645597;33654.0866;0.00376866593;33654.0866;0.0033075977;33654.0866;0.0038626976
33654.2624;0.00280044876;33654.2624;0.00323970815;33654.2624;0.00386423349;33654.2624;0.00443742628;33654.2624;0.0042444585;33654.2624;0.00373624019;33654.2624;0.00327469789;33654.2624;0.00383023941
33665.6866;0.00277318055;33665.6866;0.00321444645;33665.6866;0.00384165271;33665.6866;0.00441577228;33665.6866;0.00422122911;33665.6866;0.0037112642;33665.6866;0.00324826516;33665.6866;0.00380606841
33995.1098;0.00278575945;33995.1098;0.00323269036;33995.1098;0.0038676097;33995.1098;0.00444711868;33995.1098;0.00425117151;33995.1098;0.00373452242;33995.1098;0.00326486077;33995.1098;0.00382977963
33995.1098;0.00278288983;33995.1098;0.00324664158;33995.1098;0.00390068139;33995.1098;0.00448948481;33995.1098;0.00428369203;33995.1098;0.00375096839;33995.1098;0.00326781809;33995.1098;0.00385249151
33995.2855;0.00269830256;33995.2855;0.00310782832;33995.2855;0.003685318;33995.2855;0.0042288348;33995.2855;0.004047117;33995.2855;0.003575158;33995.2855;0.00314855948;33995.2855;0.00366443157
34006.7098;0.00264640576;34006.7098;0.00305992521;34006.7098;0.0036439018;34006.7098;0.00419083188;34006.7098;0.0040067553;34006.7098;0.00353027356;34006.7098;0.00309950525;34006.7098;0.00362054462
34334.4384;0.00265365035;34334.4384;0.00307310543;34334.4384;0.00366517795;34334.4384;0.00421767004;34334.4384;0.00403174612;34334.4384;0.00354822633;34334.4384;0.0031106527;34334.4384;0.00363928193
34334.4384;0.00264696346;34334.4384;0.00308329196;34334.4384;0.00369462324;34334.4384;0.00425654327;34334.4384;0.00406080498;34334.4384;0.00356113394;34334.4384;0.00310995138;34334.4384;0.00365840909
34334.6141;0.00264853484;34334.6141;0.00308509688;34334.6141;0.00369714265;34334.6141;0.0042594995;34334.6141;0.00406369194;34334.6141;0.00356362876;34334.6141;0.0031120005;34334.6141;0.00366083353
34346.0384;0.00261748099;34346.0384;0.00305642518;34346.0384;0.00367269607;34346.0384;0.00423710543;34346.0384;0.00403982815;34346.0384;0.00353713745;34346.0384;0.00308297464;34346.0384;0.00363480389
34671.9849;0.00261829263;34671.9849;0.00306143267;34671.9849;0.0036832971;34671.9849;0.00425172622;34671.9849;0.0040535622;34671.9849;0.00354591914;34671.9849;0.00308676512;34671.9849;0.00364383449
34671.985;0.00261257568;34671.985;0.00307205117;34671.985;0.00371246598;34671.985;0.00428999901;34671.985;0.00408237666;34671.985;0.00355909464;34671.985;0.00308677265;34671.985;0.00366303406
34672.1607;0.00260318218;34672.1607;0.00306268194;34672.1607;0.00370363281;34672.1607;0.00428156588;34672.1607;0.00407402598;34672.1607;0.00355049772;34672.1607;0.0030778426;34672.1607;0.00365427673
34683.585;0.00253004908;34683.585;0.00299364828;34683.585;0.00364039437;34683.585;0.00422101643;34683.585;0.00401084694;34683.585;0.0034831886;34683.585;0.00300689512;34683.585;0.00358826733
35007.8241;0.00257536301;35007.8241;0.00304172864;35007.8241;0.00369311455;35007.8241;0.00427751456;35007.8241;0.00406749739;35007.8241;0.00353595467;35007.8241;0.00305536332;35007.8241;0.00364050336
35007.8241;0.00256934606;35007.8241;0.00305215271;35007.8241;0.00372198399;35007.8241;0.00431538288;35007.8241;0.00409580163;35007.8241;0.00354860233;35007.8241;0.00305489468;35007.8241;0.00365929881
35007.9999;0.0025678493;35007.9999;0.00305074762;35007.9999;0.00372104054;35007.9999;0.0043147461;35007.9999;0.00409515296;35007.9999;0.00354771315;35007.9999;0.00305372892;35007.9999;0.00365834498
35019.4241;0.00254214834;35019.4241;0.00302794378;35019.4241;0.00370354133;35019.4241;0.00430000606;35019.4241;0.00407882594;35019.4241;0.00352803275;35019.4241;0.00303073168;35019.4241;0.00363906087
35341.961;0.00253880819;35341.961;0.00302781103;35341.961;0.00370738243;35341.961;0.00430673346;35341.961;0.00408486051;35341.961;0.00353037643;35341.961;0.00302940439;35341.961;0.00364168726
35341.961;0.00242938112;35341.961;0.00288148143;35341.961;0.00350392028;35341.961;0.00406770529;35341.961;0.00385999264;35341.961;0.00334958018;35341.961;0.00289115405;35341.961;0.00345506958
35342.1367;0.00243936255;35342.1367;0.00289148045;35342.1367;0.00351397373;35342.1367;0.00407776026;35342.1367;0.00386999344;35342.1367;0.00335955559;35342.1367;0.00290112678;35342.1367;0.00346507721
35353.561;0.00241506011;35353.561;0.00287000814;35353.561;0.00349805772;35353.561;0.00406487352;35353.561;0.00385566429;35353.561;0.00334174862;35353.561;0.00287981446;35353.561;0.00344752276
35674.1796;0.00241020469;35674.1796;0.00286889742;35674.1796;0.00350172938;35674.1796;0.00407183037;35674.1796;0.00386142818;35674.1796;0.0033431877;35674.1796;0.00287712785;35674.1796;0.00344955803
35674.1796;0.00239974768;35674.1796;0.00287469932;35674.1796;0.00352597324;35674.1796;0.0041052077;35674.1796;0.00388547786;35674.1796;0.00335164773;35674.1796;0.00287242543;35674.1796;0.00346396966
35674.3553;0.00240978818;35674.3553;0.00288482858;35674.3553;0.00353642514;35674.3553;0.00411585691;35674.3553;0.0038961005;35674.3553;0.00336210003;35674.3553;0.00288268475;35674.3553;0.00347438994
35685.7796;0.00238375493;35685.7796;0.00286159572;35685.7796;0.00351868905;35685.7796;0.004101159;35685.7796;0.00388002546;35685.7796;0.00334255518;35685.7796;0.00285962991;35685.7796;0.003455062
36004.5621;0.00234819559;36004.5621;0.00283052548;36004.5621;0.00349322127;36004.5621;0.00407929819;36004.5621;0.00385667474;36004.5621;0.0033142985;36004.5621;0.00282664546;36004.5621;0.00342750657
36004.5622;0.00234512445;36004.5622;0.00284335453;36004.5622;0.00352398838;36004.5622;0.00411893464;36004.5622;0.00388720209;36004.5622;0.00332960369;36004.5622;0.00282911492;36004.5622;0.00344864402
