# CSV file produced by Simufact
# Date of creation: 17.10.2021 13:31:33
#
# 1 (TIME - s);1 (X displacement - mm);# 10 (TIME - s);10 (X displacement - mm);# 2 (TIME - s);2 (X displacement - mm);# 3 (TIME - s);3 (X displacement - mm);# 4 (TIME - s);4 (X displacement - mm);# 5 (TIME - s);5 (X displacement - mm);# 6 (TIME - s);6 (X displacement - mm);# 7 (TIME - s);7 (X displacement - mm);# 8 (TIME - s);8 (X displacement - mm);# 9 (TIME - s);9 (X displacement - mm)
39418.0152;-0.0742457393;39418.0152;-0.0900314791;39418.0152;-0.0765935712;39418.0152;-0.0820721596;39418.0152;-0.0927962245;39418.0152;-0.094523977;39418.0152;-0.0901496063;39418.0152;-0.0825179611;39418.0152;-0.078778803;39418.0152;-0.0830290779
39418.1909;-0.0742190103;39418.1909;-0.0900050987;39418.1909;-0.0765689526;39418.1909;-0.0820492288;39418.1909;-0.092772547;39418.1909;-0.0944983887;39418.1909;-0.0901221232;39418.1909;-0.0824897607;39418.1909;-0.0787511015;39418.1909;-0.0830033192
39429.6152;-0.0740632106;39429.6152;-0.0898644056;39429.6152;-0.0764256268;39429.6152;-0.0819194023;39429.6152;-0.0926469892;39429.6152;-0.0943642265;39429.6152;-0.0899771667;39429.6152;-0.0823362752;39429.6152;-0.0785964069;39429.6152;-0.0828599535
39846.9418;-0.0746006861;39846.9418;-0.0903860614;39846.9418;-0.0769290606;39846.9418;-0.0823941155;39846.9418;-0.0931285319;39846.9418;-0.0948726432;39846.9418;-0.0905126663;39846.9418;-0.0828860706;39846.9418;-0.0791425403;39846.9418;-0.0833771275
39846.942;-0.0747695976;39846.942;-0.0905779853;39846.942;-0.0771083752;39846.942;-0.0825864522;39846.942;-0.0933303745;39846.942;-0.0950709478;39846.942;-0.0907035725;39846.942;-0.083065244;39846.942;-0.0793166429;39846.942;-0.083561458
39847.1178;-0.0747469998;39847.1178;-0.0905556815;39847.1178;-0.0770875203;39847.1178;-0.0825669764;39847.1178;-0.0933102742;39847.1178;-0.0950492909;39847.1178;-0.0906803644;39847.1178;-0.0830414392;39847.1178;-0.079293242;39847.1178;-0.0835396612
39858.542;-0.0745812531;39858.542;-0.0904008462;39858.542;-0.0769336454;39858.542;-0.082424974;39858.542;-0.0931700595;39858.542;-0.0949003223;39858.542;-0.0905209308;39858.542;-0.0828749909;39858.542;-0.0791267938;39858.542;-0.0833839216
40270.3782;-0.0750669787;40270.3782;-0.090872864;40270.3782;-0.0773892089;40270.3782;-0.0828552354;40270.3782;-0.0936065998;40270.3782;-0.0953606138;40270.3782;-0.0910052356;40270.3782;-0.0833719248;40270.3782;-0.0796203873;40270.3782;-0.0838518465
40270.3784;-0.0752477051;40270.3784;-0.0910782599;40270.3784;-0.0775798003;40270.3784;-0.0830589;40270.3784;-0.0938210608;40270.3784;-0.0955723342;40270.3784;-0.0912101773;40270.3784;-0.0835647177;40270.3784;-0.0798073828;40270.3784;-0.0840486667
40270.5542;-0.0752425635;40270.5542;-0.0910731705;40270.5542;-0.0775760389;40270.5542;-0.0830561963;40270.5542;-0.0938177519;40270.5542;-0.0955677188;40270.5542;-0.091204327;40270.5542;-0.0835584795;40270.5542;-0.079801523;40270.5542;-0.0840440749
40281.9784;-0.0751017584;40281.9784;-0.0909423067;40281.9784;-0.0774465704;40281.9784;-0.0829377795;40281.9784;-0.0937006265;40281.9784;-0.0954423841;40281.9784;-0.0910690604;40281.9784;-0.0834165711;40281.9784;-0.0796597296;40281.9784;-0.0839125306
40688.4712;-0.0755296349;40688.4712;-0.0913587546;40688.4712;-0.077848306;40688.4712;-0.083317778;40688.4712;-0.0940864619;40688.4712;-0.0958487817;40688.4712;-0.091496122;40688.4712;-0.083854386;40688.4712;-0.0800945596;40688.4712;-0.0843252432
