# CSV file produced by Simufact
# Date of creation: 05.10.2021 14:39:11
#
# 1 (TIME - s);1 (Temperature - ¢XC);# 2 (TIME - s);2 (Temperature - ¢XC);# 3 (TIME - s);3 (Temperature - ¢XC);# 4 (TIME - s);4 (Temperature - ¢XC);# 5 (TIME - s);5 (Temperature - ¢XC);# 6 (TIME - s);6 (Temperature - ¢XC);# 7 (TIME - s);7 (Temperature - ¢XC);# 8 (TIME - s);8 (Temperature - ¢XC);# 9 (TIME - s);9 (Temperature - ¢XC)
32621.0383;206.990169;32621.0383;207.050593;32621.0383;207.12382;32621.0383;207.144065;32621.0383;207.076139;32621.0383;207.02953;32621.0383;207.007716;32621.0383;207.07623;32621.0383;207.112435
32632.4626;206.513656;32632.4626;206.564181;32632.4626;206.62631;32632.4626;206.644117;32632.4626;206.585495;32632.4626;206.545934;32632.4626;206.527902;32632.4626;206.585657;32632.4626;206.616386
32967.062;206.913379;32967.062;206.975673;32967.062;207.053416;32967.062;207.075912;32967.062;207.004885;32967.062;206.955891;32967.062;206.932408;32967.062;207.003614;32967.062;207.040633
32967.062;206.913378;32967.062;206.975672;32967.062;207.053415;32967.062;207.075911;32967.062;207.004884;32967.062;206.955891;32967.062;206.932408;32967.062;207.003613;32967.062;207.040633
32967.2378;206.906629;32967.2378;206.968708;32967.2378;207.04605;32967.2378;207.068372;32967.2378;206.997649;32967.2378;206.94888;32967.2378;206.925537;32967.2378;206.996464;32967.2378;207.033374
32978.662;206.45269;32978.662;206.504473;32978.662;206.568486;32978.662;206.586934;32978.662;206.527004;32978.662;206.48636;32978.662;206.467601;32978.662;206.526829;32978.662;206.558154
33311.4435;207.082128;33311.4435;207.149414;33311.4435;207.236118;33311.4435;207.262387;33311.4435;207.184469;33311.4435;207.130408;33311.4435;207.103829;33311.4435;207.181431;33311.4435;207.221044
33311.4435;207.082127;33311.4435;207.149414;33311.4435;207.236118;33311.4435;207.262387;33311.4435;207.184468;33311.4435;207.130407;33311.4435;207.103829;33311.4435;207.18143;33311.4435;207.221044
33311.6192;207.075646;33311.6192;207.142724;33311.6192;207.229037;33311.6192;207.255136;33311.6192;207.177513;33311.6192;207.123672;33311.6192;207.097229;33311.6192;207.174559;33311.6192;207.214066
33323.0435;206.635049;33323.0435;206.691205;33323.0435;206.761776;33323.0435;206.782562;33323.0435;206.717393;33323.0435;206.672884;33323.0435;206.651887;33323.0435;206.716351;33323.0435;206.750035
33654.0866;207.073603;33654.0866;207.14289;33654.0866;207.233663;33654.0866;207.26179;33654.0866;207.180864;33654.0866;207.124567;33654.0866;207.096555;33654.0866;207.17685;33654.0866;207.217447
33654.0866;207.073602;33654.0866;207.14289;33654.0866;207.233662;33654.0866;207.261789;33654.0866;207.180863;33654.0866;207.124566;33654.0866;207.096555;33654.0866;207.17685;33654.0866;207.217447
33654.2624;207.067388;33654.2624;207.136476;33654.2624;207.226875;33654.2624;207.25484;33654.2624;207.174197;33654.2624;207.118109;33654.2624;207.090228;33654.2624;207.170263;33654.2624;207.210758
33665.6866;206.642062;33665.6866;206.700047;33665.6866;206.773353;33665.6866;206.795098;33665.6866;206.727806;33665.6866;206.681694;33665.6866;206.65974;33665.6866;206.726385;33665.6866;206.761024
33995.1098;207.023934;33995.1098;207.094574;33995.1098;207.188872;33995.1098;207.218812;33995.1098;207.135548;33995.1098;207.077421;33995.1098;207.048078;33995.1098;207.130381;33995.1098;207.171526
33995.1098;207.023933;33995.1098;207.094573;33995.1098;207.188872;33995.1098;207.218812;33995.1098;207.135547;33995.1098;207.077421;33995.1098;207.048077;33995.1098;207.13038;33995.1098;207.171525
33995.2855;207.018047;33995.2855;207.088498;33995.2855;207.182442;33995.2855;207.212228;33995.2855;207.129232;33995.2855;207.071304;33995.2855;207.042084;33995.2855;207.124141;33995.2855;207.165189
34006.7098;206.613163;34006.7098;206.672641;34006.7098;206.749027;34006.7098;206.772166;34006.7098;206.702788;34006.7098;206.655016;34006.7098;206.631893;34006.7098;206.700526;34006.7098;206.735825
34334.4384;206.980694;34334.4384;207.052679;34334.4384;207.150156;34334.4384;207.181664;34334.4384;207.096204;34334.4384;207.036392;34334.4384;207.005877;34334.4384;207.090097;34334.4384;207.131837
34334.4384;206.980693;34334.4384;207.052678;34334.4384;207.150155;34334.4384;207.181663;34334.4384;207.096203;34334.4384;207.036391;34334.4384;207.005876;34334.4384;207.090097;34334.4384;207.131836
34334.6141;206.975087;34334.6141;207.046891;34334.6141;207.144029;34334.6141;207.17539;34334.6141;207.090187;34334.6141;207.030564;34334.6141;207.000168;34334.6141;207.084153;34334.6141;207.1258
34346.0384;206.587465;34346.0384;206.648383;34346.0384;206.727485;34346.0384;206.751788;34346.0384;206.680485;34346.0384;206.631214;34346.0384;206.607089;34346.0384;206.67758;34346.0384;206.713561
34671.9849;206.924591;34671.9849;206.997801;34671.9849;207.098224;34671.9849;207.131198;34671.9849;207.043701;34671.9849;206.98233;34671.9849;206.950733;34671.9849;207.036717;34671.9849;207.078995
34671.985;206.92459;34671.985;206.997801;34671.985;207.098223;34671.985;207.131197;34671.985;207.0437;34671.985;206.982329;34671.985;206.950733;34671.985;207.036717;34671.985;207.078994
